quality,SO2,pH
0,0,3.51
0,1,3.2
0,0,3.26
0,0,3.16
0,0,3.51
0,0,3.51
0,0,3.3
1,0,3.39
1,0,3.36
0,1,3.35
0,1,3.28
0,1,3.35
0,0,3.58
0,0,3.26
0,1,3.16
0,1,3.17
1,1,3.3
0,0,3.11
0,0,3.38
0,0,3.04
0,0,3.39
0,1,3.52
0,0,3.17
0,1,3.17
0,0,3.43
0,0,3.34
0,0,3.28
0,0,3.17
0,0,3.47
0,0,3.38
0,1,3.35
0,0,3.46
0,1,3.17
0,1,3.45
0,0,3.38
0,0,3.4
0,0,3.42
1,0,3.23
0,0,3.5
0,1,3.33
0,1,3.33
0,0,3.26
0,0,3.21
0,0,3.3
0,0,3.48
0,1,3.9
0,1,3.25
0,0,3.25
0,0,3.34
0,1,3.32
0,0,3.15
0,0,3.4
0,0,3.39
0,1,3.2
0,1,3.17
0,0,3.34
0,0,3.04
0,1,3.26
0,0,3.43
0,0,3.41
0,0,3.44
0,1,3.21
1,0,3.38
0,0,3.39
0,0,3.41
0,0,3.41
0,0,3.42
0,0,3.44
0,1,3.28
0,0,3.34
0,0,3.32
0,1,3.32
0,1,3.31
0,0,3.31
0,1,3.28
0,0,3.54
0,0,3.54
0,0,3.52
0,1,3.38
0,1,3.16
0,0,3.41
0,1,3.13
0,1,3.36
0,0,3.16
0,1,3.44
0,0,3.41
0,1,2.93
0,0,3.39
0,1,3.14
0,0,3.48
0,1,3.23
0,1,2.93
0,1,2.93
0,0,3.39
0,1,3.75
0,1,3.85
0,0,3.45
0,0,3.25
0,0,3.39
0,0,3.3
0,0,3.4
0,0,3.31
0,0,3.3
0,1,3.29
0,0,3.33
0,1,3.29
0,1,3.08
0,1,3.46
0,1,3.37
0,1,3.21
0,0,3.19
0,1,3.15
0,1,3.15
0,0,3.32
0,0,3.19
0,1,3.07
0,0,3.39
0,0,3.37
0,0,3.21
0,1,3.34
0,1,3.3
0,0,3.21
0,0,3.49
0,0,3.44
0,1,3.39
0,1,3.16
0,0,3.53
0,0,3.54
1,0,3.42
0,0,3.42
0,1,3.24
0,1,3.63
0,1,3.63
0,0,3.4
0,0,3.22
0,1,3.19
0,0,3.23
0,0,3.48
0,1,3.33
0,1,3.32
0,1,3.19
0,0,3.23
0,1,3.68
0,0,3.34
0,1,3.68
0,1,3.17
0,1,3.54
0,1,3.11
0,0,3.42
0,0,3.53
0,0,3.33
0,1,2.74
0,1,3.35
0,1,3.35
0,1,3.42
0,1,3.42
0,1,3.42
0,1,3.42
0,0,3.48
0,1,3.59
0,0,3.2
0,0,3.17
0,0,3.33
0,1,3.37
0,1,3.37
0,1,3.19
0,1,3.34
0,0,3.37
0,0,3.47
0,1,3
0,0,3.36
0,0,3.29
0,0,3.29
0,0,3.42
0,0,3.33
0,0,3.35
0,0,3.33
0,0,3.58
0,0,3.48
0,0,3.19
0,0,3.19
0,1,3.12
0,0,3.44
0,1,3.54
0,1,3.52
0,1,3.26
0,1,3.34
0,0,3.39
0,1,3.2
0,1,3.2
0,1,3.23
0,0,3.57
0,1,3.28
0,0,3.28
0,0,3.28
0,1,3.25
0,0,3.46
0,0,3.11
1,1,3.57
0,0,3.51
1,0,3.22
0,1,3.04
0,0,3.36
0,0,3.34
0,0,3.34
1,0,3.2
1,0,3.2
0,1,3.29
0,1,3.22
1,0,3.31
0,0,3.3
0,1,3.35
0,0,3.21
0,1,3.3
0,0,3.24
0,1,3.34
0,0,3.14
0,0,3.36
0,0,3.39
0,1,3.3
0,0,3.34
0,1,3.15
0,0,3.42
0,0,3.28
0,0,3.31
0,1,3.37
0,1,3.04
0,0,3.39
0,1,3.37
0,0,3.46
1,1,3.54
0,0,3.37
0,0,3.34
0,0,3.46
0,0,3.32
0,0,3.37
0,0,3.37
0,0,3.37
0,0,3.37
0,0,3.32
0,1,3
0,0,3.14
0,1,3.08
1,0,3.07
1,0,3.07
0,0,3.61
0,0,3.38
0,1,3.2
0,0,3.35
0,0,3.61
0,0,3.22
0,0,3.47
0,0,3.17
0,1,3.23
0,0,3.47
0,1,3.26
0,0,3.22
0,0,3.49
0,0,3.06
1,0,3.36
0,0,3.29
0,1,3.35
0,0,3.34
0,0,3.28
0,0,3.08
1,0,3.2
0,1,3.6
1,0,3.35
0,0,3.69
0,0,3.28
0,1,3.36
0,0,3.28
0,1,3.22
0,0,3.31
0,1,3.38
0,1,3.36
0,0,3.69
0,0,3.28
1,0,3.23
1,0,3.38
0,0,3.12
1,0,3.25
0,0,3.36
1,0,3.38
0,1,3.31
0,1,3.31
0,0,3.1
0,0,3.37
1,0,3.34
0,1,3.2
1,0,3.34
0,0,3.3
0,0,3.22
0,0,3.41
0,0,3.05
0,0,3.05
0,1,3.16
0,0,3.67
0,0,3.67
0,0,3.68
0,0,3.38
0,0,3.22
0,0,3.51
0,0,3.39
0,1,3.2
0,0,3.12
0,0,3.36
0,0,3.19
0,0,3.19
0,0,3.41
0,0,3.12
0,1,3.27
0,1,3.32
0,1,3.3
0,1,3.39
0,0,3.42
0,1,3.3
0,1,3.3
1,0,3.37
0,1,3.3
1,0,3.37
0,1,3.24
0,0,3.29
0,1,3.28
0,0,3.16
0,0,3.16
1,0,3.05
0,0,3.28
0,0,3.16
0,0,3.18
0,0,3.23
0,0,3.23
0,1,3.22
0,0,3.13
1,0,3.34
1,0,3.17
0,0,3.35
0,0,3.31
0,1,3.16
1,0,3.11
0,0,3.12
0,0,3.21
0,0,3.3
0,0,3.3
0,0,3.12
0,1,3.6
1,0,3.58
0,0,3.02
0,0,3.11
0,0,3.36
0,0,3.28
0,0,3.35
0,0,3.27
0,1,3.18
0,1,3.25
0,0,3.55
0,0,3.26
1,0,3.24
1,0,3.15
0,0,3.17
0,1,3.19
0,0,3.37
0,0,3.05
0,0,2.99
1,0,3.07
0,0,3.26
1,0,3.07
0,0,3.16
0,1,3.18
1,0,3.2
0,1,3.57
0,0,3.32
0,0,3.32
0,1,3.05
0,0,3.01
1,0,3.01
0,0,3.26
1,0,3.2
0,0,3.11
0,0,3.31
0,0,3.21
0,0,3.06
0,0,3.21
0,0,3.21
0,0,3.42
0,0,3.43
0,0,3.41
0,0,3.31
0,0,3.43
1,0,3.19
1,1,3.56
0,0,3.06
0,0,3.18
0,1,3.16
0,0,3.03
1,0,3.22
0,1,3.47
0,0,3.18
0,0,3.18
0,0,3.1
0,1,3.47
0,0,3.29
0,1,3.1
0,0,3.15
0,0,3.26
0,0,3.36
0,0,3.24
1,0,3.18
0,0,3.19
0,0,3.05
0,1,3.38
0,1,3.38
0,1,3.27
1,0,3.27
0,1,3.26
0,1,3.32
0,0,3.26
0,1,3.44
0,0,3.24
0,0,3.62
1,1,3.28
1,0,3.52
0,0,3.36
1,0,3.15
0,0,3.36
1,0,3.52
0,0,3.49
0,0,3.26
0,0,3.24
0,0,3.1
1,0,3.15
0,1,3.25
0,0,3
0,0,3.16
0,0,3.15
0,0,3.16
0,1,3.26
0,0,3.17
0,0,3.15
0,0,3.08
1,0,2.88
0,0,3.06
1,0,2.95
1,0,3.23
1,0,3.57
0,0,3.23
0,1,3.1
0,0,3.22
0,0,3.2
0,0,3.1
0,0,3.1
0,0,3.06
0,0,3.44
1,0,3.26
0,1,3.5
1,0,3.22
0,0,3.37
0,1,3.28
1,0,3.26
0,0,3.25
0,0,3.35
0,0,3.26
0,0,3.18
0,1,3.08
0,0,2.98
0,0,3.48
0,0,3.16
0,0,3.32
0,0,3.17
0,0,3.2
0,0,3.05
0,0,3.2
0,1,3.15
0,0,3.26
0,0,3.2
0,0,3.14
0,0,3.28
0,0,3.18
0,0,3.14
0,0,3.19
0,0,3.12
1,0,3.15
0,0,3.04
0,0,3.04
0,0,3.06
0,0,3.17
0,0,3.17
0,0,3.17
1,1,3.32
0,0,3.34
0,0,3.31
1,0,3.34
1,0,3.32
0,1,3.48
0,1,3.44
1,0,3.15
0,0,3.43
0,1,3.32
1,0,3.15
0,1,3.48
0,0,3.43
1,1,3.17
1,1,3.17
1,0,3.18
1,0,3.21
1,0,3.16
1,0,3.25
0,0,3.17
0,1,3.18
1,0,3.04
0,0,3.02
0,1,3.18
0,0,3.03
1,0,3.09
1,0,3.09
0,1,3.31
0,0,3.25
0,0,3.16
0,0,3.22
0,1,3.36
0,0,3.42
0,0,3.48
0,1,3.38
0,1,3.22
0,1,3.23
0,0,3.24
0,1,3.36
0,1,3.39
0,0,3.34
0,0,3.09
0,0,3.41
0,0,3.16
0,0,3.16
0,0,3.22
0,0,3.28
0,0,3.41
0,0,3.09
0,0,3.37
1,0,3.2
0,0,3.22
0,0,3.26
0,0,3.21
0,0,3.12
0,0,3.06
0,0,2.86
0,1,3.08
0,0,3.45
0,0,3.26
0,1,3.12
0,0,3.27
0,0,3.33
0,0,3.19
0,0,3.12
0,1,3.74
0,0,2.92
0,0,2.92
0,0,3.07
0,0,2.92
0,0,3.07
0,0,3.3
0,0,3.14
0,1,3.23
0,1,3.08
0,0,3.31
0,0,3.3
0,0,3.14
0,0,3.32
0,0,3.32
0,0,3.31
0,0,3.57
0,0,3.32
0,0,3.57
0,0,3.14
0,0,3.3
0,1,3.19
0,0,3.2
0,0,3.34
0,1,3.3
0,1,3.29
0,0,3.14
0,0,3.19
0,0,3.19
0,0,3.19
1,0,2.98
1,1,3.3
0,0,3.47
1,0,3.12
0,1,3.26
1,0,3.72
1,0,3.05
0,1,3.35
0,1,3.12
0,1,3.35
0,0,3.29
0,0,3.4
0,1,3.27
0,0,3.04
0,0,3.09
0,0,3.2
0,0,3
0,0,3.26
0,0,3.1
0,0,3.3
0,0,3.1
0,1,3.17
0,0,3.31
1,0,3.34
0,0,3.31
0,1,3.32
0,0,3.56
0,0,3.39
0,0,2.98
0,0,3.32
0,0,3.26
0,1,2.87
0,1,3.5
0,1,3.5
0,0,3.03
0,0,3.13
0,0,3.09
0,1,3.27
0,1,3.28
0,0,3.13
0,0,3.49
0,0,3.46
0,0,3.46
0,0,3.36
0,0,3.36
0,0,3.27
0,1,3.21
0,0,3.27
0,0,3.25
0,0,3.32
0,1,3.43
0,1,3.27
0,0,3.27
0,1,3.24
0,1,3.24
1,0,3.35
0,0,3.18
0,0,3.39
0,1,3.46
0,0,3.39
0,1,3.46
0,0,3.39
1,0,3.37
0,0,3.4
0,0,3.32
1,0,3.33
0,1,3.16
0,0,2.89
0,1,3.41
0,1,2.98
0,0,3.12
0,0,3.08
0,0,3.14
0,0,2.89
1,0,2.92
0,0,3.32
0,0,3.41
0,0,3.32
0,0,3.31
0,0,3.36
0,0,3.04
0,0,3.03
0,0,3.14
0,0,3.18
0,0,2.94
0,0,3.15
0,0,2.94
0,0,3.26
0,0,3.2
0,1,3.15
0,0,3.2
0,0,3.08
0,0,3.26
0,0,3.08
0,0,3.4
0,1,3.48
0,0,3.13
0,0,3.06
0,0,3.21
0,0,3.33
0,0,3.37
0,1,3.25
0,0,3.37
0,0,3.44
0,0,3.28
0,0,3.4
0,0,3.3
0,0,3.63
0,1,3.48
0,1,3.03
0,1,3.32
0,1,3.31
0,0,3.9
0,0,3.47
0,0,3.47
0,1,3.31
0,0,3.11
0,1,3.08
0,0,3.47
0,0,3.47
0,1,3.32
0,0,3.29
0,0,3.37
0,0,3.4
0,0,3.37
0,0,3.34
0,0,3.27
0,1,3.06
0,1,3.38
0,0,3.36
0,0,3.34
0,1,3.28
0,0,3.29
0,0,3.34
0,0,3.21
0,0,3.22
0,0,3.46
0,0,3.22
0,1,3.1
0,0,3.21
0,1,2.94
0,0,3.54
0,0,3.29
0,0,3.43
0,0,3.46
0,0,3.46
0,0,3.61
0,0,3.17
0,0,3.44
0,0,3.39
0,1,3.55
0,0,3.48
0,0,3.26
0,0,3.26
0,0,3.5
0,1,3.1
0,0,3.35
0,0,3.45
0,1,3.21
0,0,3.46
0,1,3.13
0,1,3.13
0,0,3.52
0,0,3.3
0,1,3.3
0,0,3.52
0,0,3.52
0,0,3.29
0,0,3.29
0,1,3.39
0,0,3.29
0,0,3.09
0,0,3.51
0,0,3.6
0,0,3.25
0,0,3.25
0,1,3.19
0,1,3.23
0,0,3.25
0,0,3.31
0,0,3.25
0,0,3.31
0,0,3.31
0,1,3.14
0,1,3.45
0,1,3.55
0,0,3.39
0,1,3.55
0,1,3.28
0,1,3.27
0,0,3.3
0,0,3.31
0,0,3.43
0,0,3.4
0,0,3.4
0,0,3.36
0,1,3.5
0,0,3.31
0,0,3.66
0,1,3.36
0,0,3.66
0,1,3.55
0,1,3.21
0,1,3.21
0,0,3.18
0,0,3.18
0,1,3.09
0,1,3.33
0,1,3.23
0,1,3.48
0,0,3.38
0,0,3.17
0,0,2.99
0,1,3.1
1,0,3.24
0,0,3.29
0,0,3.29
0,1,3.25
0,0,3.23
1,1,3.56
0,0,3.24
0,0,3.26
1,0,3.33
1,0,3.27
1,0,3.33
0,0,3.26
0,0,3.22
0,0,3.3
0,0,3.09
0,0,3.24
0,0,3.44
0,0,3.21
0,0,3.24
0,0,3.23
0,0,3.28
0,0,3.29
0,0,3.28
0,0,3.34
1,0,3.71
0,0,3.61
0,0,3.61
0,0,3.24
0,0,3.36
1,0,3.4
0,0,3.36
1,0,3.46
0,0,3.56
0,0,3.38
0,0,3.56
0,0,3.38
0,0,3.38
0,0,3.32
0,0,3.39
1,1,3.26
1,1,3.26
1,0,3.24
0,0,3.46
1,0,3.24
0,0,3.45
0,1,3.23
0,1,3.28
0,0,3.18
0,0,3.59
0,0,3.59
0,0,3.5
0,0,3.59
0,0,3.58
0,0,3.28
0,0,3.28
0,1,3.22
0,0,3.47
0,0,3.47
1,0,3.51
0,0,3.47
1,0,3.4
1,0,3.15
0,0,3.4
0,1,3.51
0,1,3.66
0,0,3.24
0,1,3.51
0,1,3.51
0,1,3.51
0,0,3.41
0,0,3.4
0,0,3.4
0,0,3.44
0,0,3.41
0,0,3.53
0,0,3.43
1,0,3.23
1,0,3.12
1,0,3.31
0,0,3.4
0,0,3.41
0,1,3.22
0,1,3.53
0,0,3.15
0,0,3.48
0,0,3.22
0,1,3.53
0,1,3.22
0,0,3.34
0,0,3.33
1,0,3.15
0,1,3.43
0,1,3.22
0,0,3.44
0,1,3.53
0,0,3.22
0,1,3.53
0,1,3.53
0,0,3.42
1,0,3.31
0,0,3.42
1,0,3.31
0,0,3.48
0,0,3.4
1,0,3.58
1,0,3.58
1,0,3.41
1,0,3.41
0,1,3.23
0,1,3.39
0,0,3.59
0,1,3.43
0,0,3.29
0,0,3.23
0,0,3.18
0,0,3.33
1,0,3.27
0,0,3.29
0,0,3.27
0,1,3.62
0,0,3.38
0,1,3.3
0,0,3.38
0,0,3.24
0,1,3.3
0,0,3.38
0,0,3.38
0,0,3.18
1,1,3.47
0,1,3.47
0,1,3.2
0,0,3.18
1,0,3.3
0,0,3.69
0,0,3.48
0,1,3.45
0,0,3.48
0,0,3.69
0,1,3.39
0,1,3.39
0,0,3.07
1,0,3.34
0,0,3.61
1,0,3.36
1,0,3.19
1,0,3.22
1,0,3.24
1,0,3.27
1,0,3.14
1,0,3.29
1,0,3.26
1,0,3.41
1,0,3.41
1,0,3.41
1,0,3.26
1,0,3.31
1,0,3.2
0,0,3.44
0,0,3.36
0,0,3.31
0,0,3.29
1,0,3.47
0,0,3.36
0,0,3.16
0,0,3.27
0,0,3.38
0,0,3.15
0,0,3.16
0,0,3.34
1,0,3.13
0,1,3.13
0,0,3.2
0,0,3.46
0,0,3.33
0,0,3.33
1,0,3.22
0,0,3.52
1,0,3.3
0,1,3.44
0,1,3.44
0,1,3.15
1,0,3.28
0,0,3.13
0,0,3.32
0,0,3.25
0,1,3.34
0,0,3.32
0,0,3.13
0,0,3.45
1,0,3.19
0,1,3.44
0,0,3.16
0,0,3.14
0,0,3.16
0,1,3.45
0,0,3.36
0,1,3.45
0,1,3.15
0,0,3.39
1,0,3.71
1,0,3.71
0,0,3.12
0,0,3.47
1,0,3.44
1,0,3.26
1,0,3.26
1,0,3.36
0,0,3.25
1,0,3.36
1,0,3.26
1,0,3.26
1,0,3.23
0,0,3.18
1,0,3.25
0,0,3.17
0,0,3.23
0,0,3.38
0,0,3.22
0,0,3.06
1,0,3.27
0,1,2.89
0,1,2.89
0,0,3.53
0,0,3.2
0,0,3.2
0,0,3.35
0,0,3.27
1,0,3.32
0,0,3.33
0,0,3.41
0,0,3.49
0,1,3.37
1,0,3.32
1,0,3.42
1,0,3.35
0,0,3.36
0,0,3.3
0,0,3.2
1,0,3.17
1,0,3.22
0,0,3.35
1,0,3.24
0,0,3.33
0,0,3.58
0,0,3.38
0,0,3.33
1,0,3.29
0,0,3.36
0,0,3.32
0,0,3.31
0,0,3.49
0,0,3.27
0,0,3.27
0,0,3.49
0,0,3.03
0,0,3.56
1,0,3.38
0,1,3.13
0,1,3.13
1,0,3.21
0,1,3.15
1,0,3.19
1,0,3.21
0,0,3.14
1,0,3.21
0,0,3.3
0,0,3.22
0,0,3.28
0,0,3.29
1,0,3.4
1,0,3.02
1,0,3.02
0,0,3.31
1,0,3.18
0,1,3.2
0,1,3.4
0,0,3.31
0,1,3.2
1,1,3.44
0,0,3.15
0,0,3.27
0,0,3.27
1,1,3.01
0,0,3.16
1,1,3.01
0,1,3.42
0,0,3.33
0,1,3.42
0,1,3.12
1,0,3.38
0,0,3.29
1,0,3.02
1,0,3.02
1,1,2.98
0,0,3.35
0,0,3.43
1,0,3.33
0,0,3.35
0,0,3.15
0,0,3.35
0,0,3.2
1,0,3.15
0,0,3.2
0,0,3.11
0,0,3.35
0,0,3.45
0,0,3.35
0,0,3.28
0,0,3.41
0,0,3.21
1,0,3.27
0,0,3.36
0,1,3.17
0,0,3.25
1,0,3.78
0,0,3.29
0,0,3.12
0,1,3.49
0,0,3.38
0,0,3.38
0,0,3.38
0,0,3.3
0,0,3.52
1,0,3.2
0,0,3.44
0,0,3.45
0,0,3.12
0,0,3.62
1,0,3.14
0,0,3.39
0,0,3.51
0,1,3.22
0,1,3.21
0,0,3.18
0,1,3.32
1,0,3.38
1,0,3.37
1,0,3.3
0,0,3.38
0,0,3.22
0,0,3.22
0,1,3.14
0,1,3.34
0,1,3.41
0,1,3.27
0,0,3.3
0,0,3.61
0,1,3.43
0,0,3.53
0,0,3.28
1,0,3.21
0,0,3.39
0,0,3.23
1,0,3.3
0,1,3.46
0,0,3.15
0,0,3.23
0,1,3.59
0,0,3.15
1,1,3.33
1,1,3.46
0,0,3.42
0,0,3.16
1,0,3.14
0,0,3.21
1,0,3.14
0,0,3.29
0,0,3.29
0,0,3.01
0,0,2.94
1,0,3.32
0,0,3.21
0,0,3.32
0,0,3.2
0,0,3.42
0,0,3.27
0,1,3.46
0,1,3.46
0,0,3.61
0,0,3.58
1,0,3.35
0,1,3.68
0,0,3.27
0,0,3.27
0,0,3.19
0,0,3.38
0,1,3.29
0,1,3.36
0,0,3.33
0,0,3.52
0,0,3.33
0,1,3.36
0,0,3.3
0,0,3.28
0,0,3.56
1,0,3.52
0,0,3.56
0,1,3.22
0,0,3.52
0,1,3.21
0,0,3.16
0,1,3.15
0,1,3.21
0,0,3.16
1,0,3.27
1,0,3.35
0,1,3.14
1,0,3.4
1,0,3.4
1,0,3.4
0,0,3.35
1,0,3.4
1,0,3.45
0,0,3.35
0,0,3.32
0,0,3.35
0,0,3.15
0,0,3.1
0,0,3.26
0,1,3.29
0,1,3.23
0,0,3.24
0,0,3.2
0,0,3.28
0,0,3.28
0,1,3.26
0,0,3.23
0,0,3.07
0,1,3.15
0,0,3.02
0,0,3.27
1,1,3.68
0,1,3.4
0,0,3.37
0,1,3.38
0,1,3.4
0,0,3.23
0,0,3.39
0,1,3.3
0,0,3.26
0,0,3.39
0,0,3.38
0,0,3.45
0,0,3.1
0,1,3.16
0,0,3.22
0,1,3.37
0,1,3.33
0,0,3.49
0,0,3.12
0,0,3.49
0,0,3.41
0,0,3.4
0,0,3.4
0,0,3.28
0,0,3.45
0,0,3.43
0,0,3.4
0,0,3.47
0,0,3.1
0,1,3.32
0,0,3.44
0,0,3.44
0,0,3.02
0,0,3.59
0,1,3.15
0,0,3.37
0,0,3.38
0,0,3.38
0,0,3.38
0,0,3.1
0,0,3.47
1,1,3.5
0,0,3.7
0,1,3.38
0,0,3.5
0,0,3.1
0,0,3.24
0,1,3.24
0,0,3.28
0,0,3.35
0,1,3.24
1,0,3.14
0,0,3.37
0,0,3.37
0,0,3.33
0,1,3.26
0,0,3.39
0,0,3.15
0,0,3.35
0,0,3.22
0,1,3.3
0,1,3.3
0,0,3.36
0,0,3.29
0,0,3.62
0,0,3.34
0,0,3.29
0,1,3.2
0,1,3.2
0,0,3.35
0,0,3.45
0,0,3.5
0,0,3.78
0,0,3.6
0,0,3.3
0,1,3.36
0,1,3.12
0,1,3.3
0,1,3.29
0,0,3.41
0,1,3.29
0,1,3.28
0,1,3.3
0,0,3.33
0,0,3.34
0,1,3.4
0,1,3.4
0,1,3.26
0,0,4.01
0,0,3.18
0,1,3.26
0,1,2.9
0,1,3.26
0,0,4.01
0,0,3.18
1,0,3.18
0,0,3.39
0,0,3.39
0,0,3.39
0,0,3.39
0,0,3.34
0,1,3.29
0,1,3.29
0,1,3.26
0,0,3.09
0,0,3.18
0,0,3.39
0,0,3.38
0,0,3.36
0,0,3.36
0,0,3.36
0,0,3.36
0,0,3.36
0,0,3.36
0,0,3.37
0,0,3.36
0,0,3.09
0,0,3.25
0,0,3.52
0,0,3.34
0,0,3.34
0,0,3.41
0,1,3.34
0,0,3.32
0,0,3.37
0,0,3.37
0,0,3.35
0,0,3.36
0,0,3.36
0,1,3.6
0,1,3.28
0,0,3.07
0,0,3.24
0,0,3.36
0,0,3.07
0,1,3.29
0,0,3.46
0,0,3.18
0,0,3.24
0,1,3.25
0,1,3.27
0,0,3.33
0,1,3
0,0,3.21
0,1,3
0,1,3.24
0,0,3.32
0,1,3.26
0,0,3.11
0,1,3.71
0,0,3.29
0,0,3.36
0,0,3.36
0,0,3.38
0,1,3.3
0,1,3.3
0,1,3.19
0,1,3.19
0,0,3.3
0,0,3.3
0,0,3.35
0,1,3.1
0,0,3.58
0,0,3.37
0,0,3.17
0,0,3.3
0,1,3.32
0,0,3.31
0,0,3.31
0,1,3.28
1,0,3.52
0,0,3.42
0,1,3.25
0,1,3.25
0,0,3.44
1,0,3.23
0,0,3.43
1,0,3.28
0,0,3.22
0,0,3.54
1,0,3.27
0,0,3.54
0,0,3.5
0,0,3.56
0,0,3.22
0,1,3.04
0,0,3.2
0,0,3.56
0,0,3.2
1,0,3.35
0,0,3.16
0,1,3.27
0,0,3.16
0,0,3.34
0,0,3.39
0,0,3.5
0,0,3.26
0,0,3.26
0,0,3.41
0,0,3.3
0,0,3.31
0,1,3.33
0,0,3.37
0,1,3.26
0,0,3.48
1,0,3.42
0,1,3.18
0,1,3.18
0,1,3.15
0,0,3.53
0,0,3.41
0,1,3.32
1,0,3.23
0,1,3.16
0,0,3.4
0,0,3.38
0,1,3.32
0,1,3.16
0,0,3.4
0,0,3.4
0,0,3.4
1,0,3.23
1,0,3.23
1,0,3.33
1,0,3.35
0,1,3.41
0,0,3.21
0,0,3.5
0,1,3.3
0,1,3.41
0,0,3.39
1,0,3.32
0,1,3.41
0,0,3.59
0,0,3.36
0,0,3.34
0,0,3.41
0,0,3.41
1,0,3.3
0,0,3.52
1,0,3.3
0,0,3.31
0,0,2.88
0,0,3.43
0,0,3.38
0,0,3.38
0,1,3.16
1,1,3.54
0,1,3.16
1,1,3.54
0,0,3.4
0,0,3.39
0,0,3.66
0,0,3.39
0,0,3.33
0,0,3.35
0,0,3.53
0,0,3.37
0,0,3.38
0,0,3.52
0,0,3.72
0,0,3.44
0,0,3.39
0,0,3.72
0,0,3.57
0,1,3.26
1,0,3.42
0,0,3.35
0,1,3.26
0,0,3.45
0,0,3.53
0,0,3.45
0,0,3.26
0,1,3.16
0,0,3.31
0,0,3.51
0,0,3.36
0,0,3.55
0,0,3.51
0,0,3.36
0,0,3.38
0,0,3.28
0,0,3.47
0,0,3.44
0,0,3.53
0,1,3.33
0,1,3.53
0,1,3.53
0,0,3.42
0,0,3.38
0,0,3.32
0,0,3.44
0,0,3.38
0,0,3.39
0,0,3.42
0,1,3.34
0,0,3.39
0,0,3.33
0,0,3.3
0,0,3.29
0,0,3.31
0,0,3.42
0,0,3.42
0,0,3.6
0,0,3.21
0,1,3.39
1,0,3.42
0,0,3.36
0,0,3.6
0,0,3.5
0,0,3.57
0,0,3.46
0,0,3.56
1,0,3.4
0,0,3.3
0,0,3.25
1,0,3.17
0,0,3.36
0,0,3.36
0,0,3.55
0,0,3.1
1,0,3.24
0,0,3.45
0,0,3.44
0,0,3.51
0,0,3.41
0,0,3.54
1,0,3.44
0,0,3.53
0,0,3.54
0,1,3.22
0,1,3.21
0,1,3.21
0,1,3.21
0,0,3.29
0,0,3.29
0,0,3.29
0,0,3.39
0,0,3.34
0,0,3.29
0,0,3.34
0,0,3.48
0,0,3.37
0,0,3.44
0,1,3.33
0,0,3.58
0,1,3.39
0,0,3.26
0,0,3.3
0,0,3.54
0,0,3.42
0,0,3.54
0,0,3.36
0,0,3.54
0,0,3.57
0,1,3.33
1,0,3.29
0,0,3.3
0,0,3.34
0,0,3.55
0,1,3.27
0,1,3.29
0,0,3.32
0,0,3.67
0,0,3.42
0,0,3.42
0,0,3.45
0,0,3.52
0,0,3.42
0,0,3.57
0,0,3.39
